@RELATION data

@ATTRIBUTE ponzi {ponzi, non_ponzi}
@ATTRIBUTE nbr_tx_in NUMERIC
@ATTRIBUTE nbr_tx_out NUMERIC
@ATTRIBUTE Tot_in NUMERIC
@ATTRIBUTE Tot_out NUMERIC
@ATTRIBUTE num_paid_in_addr NUMERIC
@ATTRIBUTE num_paid_out_addr NUMERIC
@ATTRIBUTE overlap_in_out_addr NUMERIC
@ATTRIBUTE mean_in NUMERIC
@ATTRIBUTE mean_out NUMERIC
@ATTRIBUTE sdev_in NUMERIC
@ATTRIBUTE sdev_out NUMERIC
@ATTRIBUTE gini_in NUMERIC
@ATTRIBUTE gini_out NUMERIC
@ATTRIBUTE avg_time_btw_tx NUMERIC
@ATTRIBUTE gini_time_out NUMERIC
@ATTRIBUTE lifetime NUMERIC
@ATTRIBUTE size_info NUMERIC

@DATA
ponzi,38,17,8.60631e+19,8.406e+19,38,17,6,2.26481842105e+18,4.94470588235e+18,1.79943028087e+18,3.40414646406e+18,0.418403443153,0.355712306336,1383554.36364,5.16528654957e-06,76095490.0,2120
ponzi,7,2,2.01e+18,2.01e+18,7,2,1,2.87142857143e+17,1.005e+18,7.03353483285e+17,9.849e+17,0.857142857143,0.49,6441191.0,2.79086196552e-08,57970719.0,7440
ponzi,20,26,1.38e+20,1.362e+20,20,26,7,6.9e+18,5.23846153846e+18,8.01186619958e+18,8.63748881433e+18,0.552173913043,0.677002146165,6082.56521739,3.12664431777e-05,279798.0,2164
ponzi,17,25,4.5566e+19,4.55486e+19,17,25,8,2.68035294118e+18,1.821944e+18,2.44818129233e+18,2.54832432568e+18,0.45070240711,0.6482826695,91.8333333333,4.6678205179e-07,3857.0,2164
ponzi,13,17,1.2e+17,9.75e+16,13,17,2,9.23076923077e+15,5.73529411765e+15,2.66469355011e+15,5.65975900302e+15,0.0769230769231,0.485671191554,1001.83333333,2.16155418329e-08,30055.0,2284
ponzi,2,1,2.51e+19,2.51e+19,2,1,1,1.255e+19,2.51e+19,1.255e+19,0.0,0.5,0.0,10430.6666667,0.0,31292.0,2332
ponzi,633,499,4.50104170653e+21,4.48917709621e+21,633,499,28,7.11065040526e+18,8.99634688619e+18,3.82885595379e+18,4.67501884316e+18,0.273384246438,0.263354564731,43595.5803887,4.08732552133e-06,49350197.0,1620
ponzi,230,5,3.40028000007e+19,3.4e+19,230,5,1,1.47838260873e+17,6.8e+18,1.47879664231e+18,1.34301630668e+19,0.990533567312,0.793647058824,70204.4510638,1.33818591232e-05,16498046.0,4430
ponzi,392,74,1.03789174228e+21,9.46117005505e+20,392,74,14,2.64768301603e+18,1.27853649393e+19,8.37531955651e+18,1.99870198809e+19,0.902368428497,0.699376491733,165024.334764,0.000108024714912,76901340.0,16246
ponzi,17,32,8.71e+19,8.7e+19,17,32,7,5.12352941176e+18,2.71875e+18,4.60658472595e+18,3.67367641981e+18,0.456946039036,0.645474137931,360.836734694,2.2274649798e-06,17681.0,2158
ponzi,85,1233,9.935149206e+19,9.032590228e+19,85,1233,10,1.16884108306e+18,7.32570172587e+16,1.5141411242e+18,9.24444312962e+16,0.478526344809,0.511747467158,754.897572079,5.02289288203e-05,994955.0,2948
ponzi,9,13,1.88e+19,1.8655e+19,9,13,4,2.08888888889e+18,1.435e+18,2.23777888116e+18,2.2641282921e+18,0.544917257683,0.656619178195,873.863636364,1.89285973554e-06,19225.0,2150
ponzi,209,1,1.5e+16,1.5e+16,209,1,1,7.17703349282e+13,1.5e+16,4.47873470769e+14,0.0,0.977352472089,0.0,76126.4571429,0.0,15986556.0,3764
ponzi,5,3,2.22226311636e+18,2.20737627218e+18,5,3,2,4.44452623273e+17,7.35792090727e+17,4.55448586187e+17,4.44357086698e+17,0.521583040694,0.284689033974,31731.375,3.42810992935e-05,253851.0,2884
ponzi,86,666,3.1413193749e+19,3.00979298201e+19,86,666,21,3.65269694756e+17,4.5192086817e+16,1.27127915022e+18,7.7596234613e+16,0.914101231656,0.730978046634,40001.9255319,0.00113031084756,30081448.0,2682
ponzi,5,5,7.595e+18,6e+18,5,5,1,1.519e+18,1.2e+18,1.80600221484e+18,0.0,0.579065174457,0.0,4772.2,3.72452640598e-09,47722.0,2488
ponzi,6,3,1.69e+18,1.25266666667e+18,6,3,2,2.81666666667e+17,4.17555555556e+17,1.0334677332e+17,1.42340575755e+17,0.182445759369,0.18485009757,805.777777778,9.22383566308e-07,7252.0,2198
ponzi,6,6,2.7001e+19,2.7001e+19,6,6,3,4.50016666667e+18,4.50016666667e+18,4.49983334568e+18,4.19306969561e+18,0.499975309556,0.499950619113,45.1666666667,3.67402197086e-08,542.0,2100
ponzi,1,0,0.0,0.0,1,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2000
ponzi,5,2,2e+17,1.35e+17,5,2,2,4e+16,6.75e+16,4.89897948557e+16,5.75e+16,0.6,0.425925925926,2987.14285714,0.0,20910.0,2144
ponzi,163,0,0.0,0.0,163,0,0,0.0,0,0.0,0,-8.16140744842e-17,0,468602.920245,0,76382276.0,2222
ponzi,225,0,0.0,0.0,225,0,0,0.0,0,0.0,0,0.0,0,72343.7955556,0,16277354.0,5630
ponzi,4,1,2e+18,2e+18,4,1,1,5e+17,2e+18,8.66025403784e+17,0.0,0.75,0.0,18891.4,0.0,94457.0,8982
ponzi,228,2,5.1e+19,5.1e+19,228,2,1,2.23684210526e+17,2.55e+19,1.46537837947e+18,2.45e+19,0.977554179567,0.480392156863,13882.6913043,2.90161118151e-08,3193019.0,4378
ponzi,3,1,2.1e+20,2.1e+20,3,1,1,7e+19,2.1e+20,4.96655480858e+19,0.0,0.349206349206,0.0,16931.5,0.0,67726.0,976
ponzi,1084,372,1.09208723571e+21,1.00418118565e+21,1084,372,143,1.00746054955e+18,2.69941178938e+18,5.39563705536e+17,4.67869452188e+18,0.0543994374032,0.202956270335,56200.9416209,0.00227286054658,81828571.0,6474
ponzi,72,241,5.399e+19,4.142e+19,72,241,10,7.49861111111e+17,1.71867219917e+17,2.45361156317e+18,2.30895651478e+17,0.882753493445,0.523310145439,43439.2875399,0.000334559205118,13596497.0,4080
ponzi,14,15,3.3765e+19,3.37565e+19,14,15,2,2.41178571429e+18,2.25043333333e+18,5.07968227604e+18,7.43209270983e+18,0.774240020308,0.895364942061,144.068965517,5.74933350519e-07,4178.0,2150
ponzi,75,58,3.3973566179e+19,3.1883446179e+19,75,58,10,4.52980882387e+17,5.49714589293e+17,6.2238460126e+17,6.37746702764e+17,0.666837459617,0.586584120323,321381.37594,0.00133309909604,42743723.0,2432
ponzi,2,0,9e+17,0.0,2,0,0,4.5e+17,0,4.5e+17,0,0.5,0,93.0,0,186.0,1900
ponzi,41,50,1.90211217e+20,1.740961217e+20,41,50,7,4.63929797561e+18,3.481922434e+18,4.23554142682e+18,4.93481817477e+18,0.497790493658,0.667042006864,838518.703297,6.8767396066e-06,76305202.0,2144
ponzi,11,6,4.1001e+17,8.2002e+17,11,6,1,3.72736363636e+16,1.3667e+17,4.35048967511e+16,4.49664074616e+16,0.607546157411,0.162581400454,1676.70588235,4.26114056443e-06,28504.0,632
ponzi,391,4,4.96e+18,4.689e+18,391,4,3,1.26854219949e+16,1.17225e+18,1.26831143227e+17,1.12469559771e+18,0.990749525617,0.514661974835,42099.478481,1.90464530259e-06,16629294.0,4978
ponzi,3,0,2e+16,0.0,3,0,0,6.66666666667e+15,0,4.71404520791e+15,0,0.333333333333,0,627.333333333,0,1882.0,1890
ponzi,955,1305,1.36126433561e+21,1.33278714492e+21,955,1305,70,1.42540768127e+18,1.02129283135e+18,7.94248997463e+18,7.9196565092e+18,0.940022412833,0.943621750637,26926.9154867,0.00949426450299,60854829.0,5396
ponzi,2,1,2.51e+19,2.51e+19,2,1,1,1.255e+19,2.51e+19,1.255e+19,0.0,0.5,0.0,142.666666667,0.0,428.0,2332
ponzi,167,57,3.09644656799e+21,3.07272877282e+21,167,57,17,1.85415962155e+19,5.39075223302e+19,2.62179761742e+19,3.90936879508e+19,0.666473829272,0.400728593299,330684.477679,0.00255663544963,74073323.0,2294
ponzi,25,31,2.10000000008e+20,1.99e+20,25,31,6,8.40000000031e+18,6.41935483871e+18,3.66606055525e+18,6.81920529637e+18,0.159999999967,0.517425838872,1416292.21429,1.00616480541e-06,79312364.0,2158
ponzi,2,0,5e+16,0.0,2,0,0,2.5e+16,0,2.5e+16,0,0.5,0,130.5,0,261.0,2342
ponzi,1,0,0.0,0.0,1,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3426
ponzi,65,46,6.11e+19,5.888e+19,65,46,10,9.4e+17,1.28e+18,2.34553585808e+17,2.12214001915e+17,0.0599773385371,0.0371942934783,285.207207207,1.71848152228e-06,31658.0,1824
ponzi,197,0,0.0,0.0,197,0,0,0.0,0,0.0,0,5.58737495161e-17,0,77577.4873096,0,15282765.0,10914
ponzi,4,1,3.003e+18,2.5e+18,4,1,1,7.5075e+17,2.5e+18,4.33445714594e+17,0.0,0.25,0.0,25.2,0.0,126.0,1510
ponzi,1,0,0.0,0.0,1,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,8906
ponzi,3,0,6e+15,0.0,3,0,0,2e+15,0,2.16024689947e+15,0,0.555555555556,0,54.6666666667,0,164.0,2070
ponzi,10,2,4e+16,3.05e+16,10,2,2,4e+15,1.525e+16,9.16515138991e+15,3.75e+15,0.85,0.122950819672,6018495.0,2.12022395409e-06,72221940.0,2340
ponzi,117,382,1.16e+20,1.1e+20,117,382,41,9.91452991453e+17,2.87958115183e+17,9.20540992673e+16,2.35215540697e+17,0.00854700854701,0.432076243455,4656.82164329,6.21293054252e-05,2323754.0,1756
ponzi,251,2,1.002e+19,5.01e+18,251,2,1,3.99203187251e+16,2.505e+18,4.45429191865e+17,2.4549e+18,0.99203187251,0.49,65141.8063241,5.60784086248e-07,16480877.0,4206
ponzi,1,0,0.0,0.0,1,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1936
ponzi,20,30,2.28275e+19,2.28111666667e+19,20,30,7,1.141375e+18,7.60372222222e+17,1.01353387801e+18,8.18618517498e+17,0.465441901216,0.502114948575,133.58,7.56715705202e-07,6679.0,2142
ponzi,1,0,0.0,0.0,1,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3256
ponzi,1,0,0.0,0.0,1,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2324
ponzi,4,2,7e+16,1.2e+17,4,2,1,1.75e+16,6e+16,3.03108891325e+16,1e+16,0.75,0.0833333333333,13943.0,1.42429081546e-05,83658.0,650
ponzi,4,4,1.3188182648e+18,1.25547914153e+18,4,4,1,3.297045662e+17,3.13869785382e+17,1.93777744727e+17,3.11086823598e+17,0.283673428391,0.522684737385,1275.875,1.66523596802e-06,10207.0,2976
ponzi,1,0,0.0,0.0,1,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1818
ponzi,14,18,5.48e+20,5.465e+20,14,18,5,3.91428571429e+19,3.03611111111e+19,4.5733478114e+19,8.99465528886e+19,0.58889468196,0.79384975094,10064.9375,4.42404703757e-05,322078.0,2168
ponzi,50,11,4.05601e+19,3.8528e+19,50,11,6,8.11202e+17,3.50254545455e+18,1.57365667011e+18,3.51444752407e+18,0.727917189553,0.490989630525,1384384.37705,0.000260487860754,84447447.0,2342
ponzi,247,19,6.6456e+20,6.628004e+20,247,19,4,2.69052631579e+18,3.48842315789e+19,1.34347248467e+19,3.67285604986e+19,0.962723136285,0.560231199556,192321.105263,5.09084526442e-06,51157414.0,2672
ponzi,6,1,2.75e+18,1e+18,6,1,1,4.58333333333e+17,1e+18,4.65847495312e+17,0.0,0.530303030303,0.0,2470948.57143,0.0,17296640.0,2260
ponzi,38,19,7.33766e+19,7.33665e+19,38,19,11,1.93096315789e+18,3.86139473684e+18,2.94478618788e+18,4.25050288226e+18,0.664157166411,0.532343924357,1455.0877193,1.7594560762e-06,82940.0,2120
ponzi,1,0,0.0,0.0,1,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1482
ponzi,18,21,1.3401e+20,1.33999e+20,18,21,4,7.445e+18,6.3809047619e+18,6.49894799179e+18,1.14052652874e+19,0.432849124029,0.714410448692,26676.6410256,0.000122391099255,1040389.0,2332
ponzi,60,26,7.4608125e+20,6.641726925e+20,60,26,13,1.24346875e+19,2.55451035577e+19,1.98781863761e+19,2.69195196076e+19,0.718433538572,0.549829557463,971814.430233,7.63699820639e-07,83576041.0,2290
ponzi,461,146,7.59348888541e+21,7.44670649011e+21,461,146,54,1.64717763241e+19,5.10048389734e+19,2.9104801016e+19,5.5074446349e+19,0.768042668454,0.577085052698,135272.179572,0.000170448940225,82110213.0,4978
ponzi,17,32,1.662e+19,1.66059e+19,17,32,5,9.77647058824e+17,5.18934375e+17,1.58440758798e+18,1.78674261653e+18,0.72966659588,0.895528283622,57815.8367347,0.000431080925069,2832976.0,9030
ponzi,8,5,3.133e+19,2.823e+19,8,5,4,3.91625e+18,5.646e+18,4.73118361909e+18,6.26438057592e+18,0.603774337695,0.559688274885,78620.0,0.000136026391885,1022060.0,1800
ponzi,6,8,4.5e+19,4.4e+19,6,8,4,7.5e+18,5.5e+18,3.35410196625e+18,4.5e+18,0.166666666667,0.409090909091,599.857142857,1.02388026197e-06,8398.0,1980
ponzi,272,23,4.41800913469e+20,5.38883913469e+20,272,23,16,1.62426806422e+18,2.34297353682e+19,1.16129917634e+19,3.3171204933e+19,0.980206486824,0.686993127506,73575.9898305,4.27477693447e-05,21704917.0,4218
ponzi,1,0,0.0,0.0,1,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2144
ponzi,257,363,8.51086116614e+20,8.01347768429e+20,257,363,17,3.3116191308e+18,2.20756961e+18,2.12493773023e+18,2.68027225868e+18,0.325819967914,0.603235948799,122652.933871,0.00010797699067,76044819.0,18244
ponzi,569,115,3.29e+19,2.0001e+18,569,115,7,5.78207381371e+16,1.7392173913e+16,6.98338346288e+17,3.39898965751e+16,0.992703030433,0.767524232484,113819.932749,0.000317963739751,77852834.0,3684
ponzi,11,3,1.6e+19,1.4e+19,11,3,3,1.45454545455e+18,4.66666666667e+18,2.87192163617e+18,1.88561808316e+18,0.795454545455,0.190476190476,5364362.14286,3.22422979553e-07,75101070.0,2266
ponzi,223,0,0.0,0.0,223,0,0,0.0,0,0.0,0,4.36044228714e-17,0,258971.901345,0,57750734.0,2600
ponzi,219,12,4.98761153395e+18,4.91448467194e+18,219,12,4,2.27744818902e+16,4.09540389328e+17,1.53200418209e+17,5.92934617783e+17,0.97662055564,0.664566290445,71559.5108225,5.07911403869e-05,16530247.0,3644
ponzi,692,4,3.81e+19,1.01e+19,692,4,2,5.50578034682e+16,2.525e+18,1.15172169291e+18,1.25573683549e+18,0.997143962496,0.215346534653,120086.997126,0.000169504221861,83580550.0,2274
ponzi,44,12,2.52e+19,2.268e+19,44,12,3,5.72727272727e+17,1.89e+18,6.24995867755e+17,1.22750424303e+18,0.516774891775,0.254556143445,1514890.82143,0.0059342947139,84833886.0,2342
ponzi,5,2,1.5900001e+18,1.59e+18,5,2,1,3.1800002e+17,7.95e+17,3.04772681322e+17,2.2e+17,0.526289249919,0.138364779874,36533.1428571,4.36369582061e-05,255732.0,2748
ponzi,12,9,7.675e+18,5.11e+18,12,9,9,6.39583333333e+17,5.67777777778e+17,9.30184700148e+17,8.05312607043e+17,0.695602605863,0.670580560992,14014.9047619,2.06655445753e-05,294313.0,1438
ponzi,296,192,5.39645510247e+21,5.35355436112e+21,296,192,84,1.82312672381e+19,2.78830956308e+19,2.91152018505e+19,5.54396120564e+19,0.742288612173,0.782772883955,141549.221311,0.000759207742608,69076020.0,2276
ponzi,74,44,2.7391e+20,2.716099948e+20,74,44,7,3.70148648649e+18,6.17295442727e+18,3.71627526489e+18,4.21269618962e+18,0.538195619591,0.376009393217,46947.1610169,8.76688859951e-05,5539765.0,3586
ponzi,526,3,1.9417495e+20,1.148e+20,526,3,1,3.69153897338e+17,3.82666666667e+19,1.39591772852e+18,1.33562303398e+19,0.874918903368,0.177119628339,113039.308129,0.00163626941194,59797794.0,4694
ponzi,30,36,1.2264400494e+20,1.107133e+20,30,36,7,4.088133498e+18,3.07536944444e+18,4.40762525347e+18,4.76616377993e+18,0.534691046633,0.702076770461,2407.33333333,1.09555156803e-05,158884.0,2164
ponzi,12,6,4.007e+19,4.006e+19,12,6,5,3.33916666667e+18,6.67666666667e+18,2.34878854708e+18,4.69990661846e+18,0.331856750686,0.331918788484,82.0555555556,1.61518769883e-07,1477.0,1996
ponzi,10,3,1e+19,5e+18,10,3,1,1e+18,1.66666666667e+18,2e+18,1.64991582277e+18,0.8,0.466666666667,5660914.53846,5.55163608477e-05,73591889.0,1846
ponzi,6,2,2.1e+18,2e+18,6,2,1,3.5e+17,1e+18,7.38241153012e+17,0.0,0.809523809524,0.0,150139.875,9.15537923879e-05,1201119.0,7566
ponzi,271,19,8.2436041e+20,7.8495041e+20,271,19,9,3.0419203321e+18,4.13131794737e+19,1.00883971942e+19,3.8781501997e+19,0.924793336296,0.520184571982,70812.4931034,0.000137400443038,20535623.0,2616
ponzi,390,223,4.5588610871e+20,3.39416691795e+20,390,223,40,1.16893874028e+18,1.52204794527e+18,5.30068825145e+18,2.56786166084e+18,0.937854633412,0.762689994648,132126.476346,0.000614653886266,80993530.0,2604
ponzi,1,0,0.0,0.0,1,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1928
ponzi,62,49,1.88161359952e+19,1.73094158824e+19,62,49,17,3.03486064438e+17,3.53253385356e+17,2.84003860599e+17,2.66030357742e+17,0.469525917207,0.371627122217,377748.045045,7.59271228795e-05,41930033.0,2324
ponzi,202,0,0.0,0.0,202,0,0,0.0,0,0.0,0,0.0,0,79718.960396,0,16103230.0,3636
ponzi,3,0,3.00001e+18,0.0,3,0,0,1.00000333333e+18,0,1.41421120536e+18,0,0.666664444452,0,15876834.6667,0,47630504.0,2562
ponzi,729,66,1.46541955606e+21,1.36304244121e+21,729,66,27,2.0101777175e+18,2.06521582002e+19,8.36638071262e+18,3.4486378859e+19,0.928214262813,0.716958671887,102557.543396,0.00341238274146,81533247.0,5046
ponzi,16,27,1.35e+20,1.35e+20,16,27,4,8.4375e+18,5e+18,2.17855313224e+18,4.472135955e+18,0.0625,0.444444444444,18.3488372093,8.62553384917e-08,789.0,2080
ponzi,41,24,4.2e+17,3.2e+17,41,24,4,1.0243902439e+16,1.33333333333e+16,9.23614450183e+15,4.92160768674e+15,0.477351916376,0.165625,4521.03076923,1.19740053697e-05,293867.0,10608
ponzi,3,3,1.389e+17,1.3889e+17,3,3,2,4.63e+16,4.62966666667e+16,4.11587981684e+16,5.57075341005e+16,0.479961603072,0.581323349413,85895.3333333,7.56678765525e-05,515372.0,7218
ponzi,40,7,3.294864645e+19,2.4116853645e+19,40,7,1,8.2371616125e+17,3.44526480643e+18,2.11117274701e+18,6.84460723317e+18,0.862105871082,0.794282629033,1383328.17021,0.00578546974771,65016424.0,2248
ponzi,1,0,0.0,0.0,1,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1886
ponzi,65,22,1.086102e+19,1.0702971e+19,65,22,5,1.67092615385e+17,4.86498681818e+17,5.34437400273e+17,2.05517382202e+18,0.913443885353,0.927985734904,868135.850575,2.39709373129e-05,75527819.0,6648
ponzi,1,0,0.0,0.0,1,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,8396
ponzi,2,1,1e+15,1e+15,2,1,0,5e+14,1e+15,5e+14,0.0,0.5,0.0,41.0,0.0,123.0,408
ponzi,6,2,8.9e+16,2.04e+16,6,2,1,1.48333333333e+16,1.02e+16,1.35451918489e+16,4.8e+15,0.503745318352,0.235294117647,2448863.25,0.000776760646317,19590906.0,1906
ponzi,361,30,2.1e+19,2.2e+19,361,30,5,5.81717451524e+16,7.33333333333e+17,2.34067924369e+17,8.95668589503e+17,0.941828254848,0.575757575758,166891.299233,1.18266904889e-06,65254498.0,2158
ponzi,754,912,2.95448089383e+21,2.82334078763e+22,754,912,31,3.91840967352e+18,3.09576840749e+19,3.7273571485e+19,1.7570681289e+20,0.857812093073,0.963955145607,19576.4657863,0.000626210565176,32614392.0,4606
ponzi,34,23,1.5737854567e+20,1.508254e+20,34,23,11,4.628780755e+18,6.55762608696e+18,4.29925754317e+18,4.63956082791e+18,0.490264420287,0.368148116673,372.052631579,1.34697078187e-06,21207.0,1620
ponzi,4,0,2.6e+17,0.0,4,0,0,6.5e+16,0,6.26498204307e+16,0,0.519230769231,0,1504.25,0,6017.0,1940
