@RELATION data

@ATTRIBUTE ponzi {ponzi, non_ponzi}
@ATTRIBUTE SWAP8 NUMERIC
@ATTRIBUTE DUP11 NUMERIC
@ATTRIBUTE DUP14 NUMERIC
@ATTRIBUTE SWAP10 NUMERIC
@ATTRIBUTE DUP15 NUMERIC
@ATTRIBUTE LOG2 NUMERIC
@ATTRIBUTE INVALID NUMERIC
@ATTRIBUTE SWAP9 NUMERIC
@ATTRIBUTE SWAP5 NUMERIC
@ATTRIBUTE SWAP12 NUMERIC
@ATTRIBUTE SWAP16 NUMERIC
@ATTRIBUTE DUP9 NUMERIC
@ATTRIBUTE LOG1 NUMERIC
@ATTRIBUTE DUP12 NUMERIC
@ATTRIBUTE SWAP11 NUMERIC
@ATTRIBUTE SWAP2 NUMERIC
@ATTRIBUTE MSTORE8 NUMERIC
@ATTRIBUTE SWAP14 NUMERIC
@ATTRIBUTE DUP13 NUMERIC
@ATTRIBUTE POP NUMERIC
@ATTRIBUTE DUP8 NUMERIC
@ATTRIBUTE DUP7 NUMERIC
@ATTRIBUTE DUP3 NUMERIC
@ATTRIBUTE DUP4 NUMERIC
@ATTRIBUTE MSTORE NUMERIC
@ATTRIBUTE SWAP3 NUMERIC
@ATTRIBUTE CODECOPY NUMERIC
@ATTRIBUTE JUMP NUMERIC
@ATTRIBUTE DUP5 NUMERIC
@ATTRIBUTE SWAP13 NUMERIC
@ATTRIBUTE STOP NUMERIC
@ATTRIBUTE CALLDATACOPY NUMERIC
@ATTRIBUTE SWAP7 NUMERIC
@ATTRIBUTE SWAP1 NUMERIC
@ATTRIBUTE SWAP6 NUMERIC
@ATTRIBUTE RETURN NUMERIC
@ATTRIBUTE DUP6 NUMERIC
@ATTRIBUTE SWAP4 NUMERIC
@ATTRIBUTE REVERT NUMERIC
@ATTRIBUTE SELFDESTRUCT NUMERIC
@ATTRIBUTE DUP10 NUMERIC
@ATTRIBUTE DUP16 NUMERIC
@ATTRIBUTE JUMPI NUMERIC
@ATTRIBUTE SSTORE NUMERIC
@ATTRIBUTE PUSH NUMERIC
@ATTRIBUTE LOG3 NUMERIC
@ATTRIBUTE LOG4 NUMERIC
@ATTRIBUTE Missing NUMERIC
@ATTRIBUTE SWAP15 NUMERIC
@ATTRIBUTE DUP1&2 NUMERIC
@ATTRIBUTE size_info NUMERIC

@DATA
ponzi,0.0012224938875305623,0.0006112469437652812,0.0,0.0006112469437652812,0.0,0.0,0.0,0.0006112469437652812,0.007946210268948655,0.0,0.0,0.003056234718826406,0.0,0.0,0.0,0.06540342298288508,0.0,0.0,0.0,0.06051344743276284,0.0018337408312958435,0.0012224938875305623,0.03667481662591687,0.018337408312958436,0.04767726161369193,0.022616136919315404,0.014669926650366748,0.02078239608801956,0.01039119804400978,0.0,0.0006112469437652812,0.0006112469437652812,0.0006112469437652812,0.1356968215158924,0.0024449877750611247,0.0024449877750611247,0.003667481662591687,0.013447432762836185,0.0,0.0,0.0012224938875305623,0.0,0.03667481662591687,0.022616136919315404,0.2628361858190709,0.0,0.0,0.0,0.0,0.20293398533007334,7016
ponzi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008869179600886918,0.0,0.0,0.0,0.057649667405764965,0.0,0.0,0.0,0.07982261640798226,0.0,0.0,0.024390243902439025,0.028824833702882482,0.028824833702882482,0.013303769401330377,0.008869179600886918,0.031042128603104215,0.004434589800443459,0.0,0.0022172949002217295,0.0,0.0022172949002217295,0.14634146341463414,0.0,0.0066518847006651885,0.008869179600886918,0.011086474501108648,0.0,0.0,0.0,0.0,0.04656319290465632,0.026607538802660754,0.2727272727272727,0.0,0.0,0.0,0.0,0.19068736141906872,2174
ponzi,0.0013850415512465374,0.0013850415512465374,0.0,0.0013850415512465374,0.0,0.0,0.0,0.0,0.002770083102493075,0.0,0.0,0.004155124653739612,0.0,0.0,0.0,0.04293628808864266,0.0,0.0,0.0,0.06371191135734072,0.0,0.002770083102493075,0.019390581717451522,0.012465373961218837,0.038781163434903045,0.015235457063711912,0.02077562326869806,0.02631578947368421,0.004155124653739612,0.0,0.0013850415512465374,0.0,0.0013850415512465374,0.13434903047091412,0.0,0.004155124653739612,0.006925207756232687,0.006925207756232687,0.0,0.0,0.0,0.0,0.055401662049861494,0.02631578947368421,0.278393351800554,0.0,0.0,0.0,0.0,0.22714681440443213,3204
ponzi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005291005291005291,0.0,0.0,0.0,0.05555555555555555,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.015873015873015872,0.015873015873015872,0.037037037037037035,0.010582010582010581,0.010582010582010581,0.037037037037037035,0.0026455026455026454,0.0,0.0026455026455026454,0.0,0.0,0.13756613756613756,0.0,0.005291005291005291,0.0,0.0026455026455026454,0.0,0.0,0.0,0.0,0.06084656084656084,0.026455026455026454,0.2671957671957672,0.0,0.0,0.0,0.0,0.23544973544973544,1900
ponzi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007177033492822967,0.0,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.07894736842105263,0.0,0.0,0.019138755980861243,0.0215311004784689,0.03110047846889952,0.019138755980861243,0.009569377990430622,0.03349282296650718,0.004784688995215311,0.0,0.0023923444976076554,0.0,0.0023923444976076554,0.14354066985645933,0.0,0.007177033492822967,0.007177033492822967,0.009569377990430622,0.0,0.0,0.0,0.0,0.050239234449760764,0.023923444976076555,0.2751196172248804,0.0,0.0,0.0,0.0,0.20095693779904306,2070
ponzi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007371007371007371,0.0,0.0,0.0,0.06142506142506143,0.0,0.0,0.0,0.07862407862407862,0.0,0.0,0.02457002457002457,0.022113022113022112,0.0343980343980344,0.009828009828009828,0.009828009828009828,0.0343980343980344,0.002457002457002457,0.0,0.002457002457002457,0.0,0.0,0.13267813267813267,0.0,0.004914004914004914,0.007371007371007371,0.002457002457002457,0.0,0.0,0.0,0.0,0.05896805896805897,0.02457002457002457,0.2727272727272727,0.0,0.0,0.0,0.0,0.20884520884520885,2082
ponzi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7720
ponzi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00904977375565611,0.0,0.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.08144796380090498,0.0,0.0,0.024886877828054297,0.024886877828054297,0.029411764705882353,0.013574660633484163,0.00904977375565611,0.03167420814479638,0.004524886877828055,0.0,0.0022624434389140274,0.0,0.0022624434389140274,0.14479638009049775,0.0,0.006787330316742082,0.00904977375565611,0.011312217194570135,0.0,0.0,0.0,0.0,0.04751131221719457,0.024886877828054297,0.27601809954751133,0.0,0.0,0.0,0.0,0.18778280542986425,2118
ponzi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060790273556231,0.0,0.0,0.0,0.03951367781155015,0.0,0.0,0.0,0.1033434650455927,0.0,0.0060790273556231,0.0486322188449848,0.04559270516717325,0.02127659574468085,0.02127659574468085,0.0,0.0182370820668693,0.00303951367781155,0.0,0.00303951367781155,0.0,0.0,0.1641337386018237,0.0,0.00303951367781155,0.0121580547112462,0.00303951367781155,0.0,0.0,0.0,0.0,0.0425531914893617,0.03343465045592705,0.2826747720364742,0.0,0.0,0.0,0.0,0.14285714285714285,1532
ponzi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008888888888888889,0.0,0.0,0.0,0.057777777777777775,0.0,0.0,0.0,0.08,0.0,0.0,0.024444444444444446,0.028888888888888888,0.028888888888888888,0.013333333333333334,0.008888888888888889,0.03111111111111111,0.0044444444444444444,0.0,0.0022222222222222222,0.0,0.0022222222222222222,0.14666666666666667,0.0,0.006666666666666667,0.008888888888888889,0.011111111111111112,0.0,0.0,0.0,0.0,0.04666666666666667,0.02666666666666667,0.2733333333333333,0.0,0.0,0.0,0.0,0.18888888888888888,2150
